"Rest of State Violent and Disruptive Incidents 2006-07  (unweighted incident headings are shaded)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"County Name","District Name","School Name","BEDS CODE","Enrollment","School Type","Homicide","","Forcible Sex Offenses","","Other Sex offenses","","Robbery","","Assault With Serious Physical Injury","","Arson","Kidnapping","","Assault with Physical Injury","","Reckless Endangerment","","Minor Altercations","","Intimidation, Harassment, Menacing, or Bullying","","Burglary","","Criminal Mischief","","Larceny, or Other Theft","","Bomb Threat","False Alarm","Riot","","Weapon Possession","","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"","","","","","","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","","","With Weapon(s)","Without Weapon(s)","Through Screening","Under Other Circumstances","","",""
"ALBANY","Bethlehem Central School District","Slingerlands Elementary School","010306060006","679.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Cohoes City School District","Abram Lansing School","010500010005","387.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Cohoes City School District","Cohoes High School","010500010007","683.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","22.0","0.0","4.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","1.0","0.0","96.0"
"ALBANY","Cohoes City School District","Cohoes Middle School","010500010008","500.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","0.0","0.0","0.0","56.0","0.0","30.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","0.0","49.0"
"ALBANY","Cohoes City School District","Harmony Hill School","010500010009","408.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Cohoes City School District","Van Schaick Island School","010500010006","136.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Green Island Union Free School District","Heatly School","010701030001","315.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","0.0","11.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","52.0"
"ALBANY","Guilderland Central School District","Altamont Elementary School","010802060001","292.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Guilderland Central School District","Farnsworth Middle School","010802060008","1362.0","Public","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","13.0","0.0","19.0","0.0","0.0","0.0","3.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","9.0"
"ALBANY","Guilderland Central School District","Guilderland Elementary School","010802060003","516.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Guilderland Central School District","Guilderland High School","010802060005","1873.0","Public","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","4.0","12.0","10.0","155.0"
"ALBANY","Guilderland Central School District","Lynnwood Elementary School","010802060007","438.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ALBANY","Guilderland Central School District","Pine Bush Elementary School","010802060009","479.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"ALBANY","Guilderland Central School District","Westmere Elementary School","010802060004","465.0","Public","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
