"BEDS Code","School Name","District Name","School Type","Enrollment","Homicide","","Forcible Sex Offenses","","Other Sex Offenses","","Robbery","","Assault With Serious Physical Injury","","Arson","Kidnapping","","Assault with Physical Injury","","Reckless Endangerment","","Minor Altercations","","Intimidation, Harassment, Menacing, or Bullying","","Burglary","","Criminal Mischief","","Larceny, or Other Theft","","Bomb Threat","False Alarm","Riot","","Weapon Possession","","Drug Possession","Alcohol Possession","Other Disruptive"
"","","","","","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","With Weapon(s)","Without Weapon(s)","","","With Weapon(s)","Without Weapon(s)","Through Screening","Under Other Circumstances","","",""
"010402060001","Ravena Senior High School","Ravena-Coeymans-Selkirk Central School District","Public","673.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","14.0","0.0","22.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","49.0"
"010402060002","Albertus W Becker School","Ravena-Coeymans-Selkirk Central School District","Public","462.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","8.0"
"010402060003","Pieter B Coeymans School","Ravena-Coeymans-Selkirk Central School District","Public","484.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010402060008","Ravena Middle School","Ravena-Coeymans-Selkirk Central School District","Public","490.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","0.0","30.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0"
"010500010005","Abram Lansing School","Cohoes City School District","Public","376.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010500010006","Van Schaick Island School","Cohoes City School District","Public","155.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"010500010007","Cohoes High School","Cohoes City School District","Public","668.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","1.0","0.0","9.0","0.0","27.0","0.0","0.0","0.0","0.0","0.0","3.0","1.0","0.0","0.0","0.0","0.0","3.0","1.0","1.0","52.0"
"010500010008","Cohoes Middle School","Cohoes City School District","Public","446.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","54.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","5.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","47.0"
"010500010009","Harmony Hill School","Cohoes City School District","Public","400.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"010601060003","Roessleville School","South Colonie Central School District","Public","404.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"010601060005","Saddlewood Elementary School","South Colonie Central School District","Public","362.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0"
"010601060006","Shaker Road Elementary School","South Colonie Central School District","Public","288.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0"
"010601060008","Colonie Central High School","South Colonie Central School District","Public","1938.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","11.0","0.0","0.0","0.0","2.0","0.0","6.0","0.0","1.0","0.0","0.0","0.0","2.0","8.0","1.0","93.0"
